cuatrimestre,materia1,creditos1,materia2,creditos2
1,71.80 - Utilitarios en Informática,6,71.xx - Certificaciones tecnológicas,0
1,71.80 - Utilitarios en Informática,6,71.xx - Introducción a las bases de datos,6
1,81.02 - Introducción a la Licenciatura en Administración y Sistemas,6,81.06 - Introducción a la Administración,6
1,81.07 - Sistemas Contables,6,81.07 - Sistemas Contables,6
1,93.21 - Álgebra,6,93.21 - Álgebra,6
2,71.85 - Programación,6,71.20 - Informática General,3
2,71.85 - Programación,6,71.xx - Programación Web,6
2,81.08 - Aplicación de las Telecomunicaciones,3,71.xx - Introducción a la Tecnología Informática,3
2,93.20 - Análisis Matemático,6,93.20 - Análisis Matemático,6
2,94.60 - Panorama Histórico Global,3,94.60 - Panorama Histórico Global,3
2,94.61 - Filosofía,3,94.61 - Filosofía,3
3,61.81 - Microeconomía,3,61.81 - Microeconomía,3
3,81.11 - Contabilidad Gerencial,6,81.11 - Contabilidad Gerencial,6
3,81.52 - Negocios y Tecnología en Internet,6,81.xx - Negocios en Internet,3
3,81.52 - Negocios y Tecnología en Internet,6,81.xx - Aplicaciones en Internet,3
3,93.39 - Estadística,6,93.39 - Estadística,6
3,94.62 - Ética en los Negocios,3,94.62 - Ética en los Negocios,3
4,61.12 - Gestión Financiera,6,61.12 - Gestión Financiera,6
4,61.82 - Macroeconomía,3,61.82 - Macroeconomía,3
4,61.90 - Derecho Público y Privado,3,61.xx - Derecho Público y Privado I,3
4,71.88 - Gestión de Datos,6,71.88 - Gestión de Datos,6
4,81.20 - Comercialización,3,81.20 - Comercialización,3
4,94.63 - Epistemologia y Heurística,3,94.63 - Epistemologia y Heurística,3
5,11.83 - Gestión de Operaciones,6,11.83 - Gestión de Operaciones,6
5,81.21 - Gestión de Ventas,3,81.21 - Gestión de Ventas,3
5,81.30 - Análisis y Modelado de Procesos de Negocios,6,81.xx - Gestión Organizacional basada en procesos de negocio,6
5,81.39 - Sistemas Integrados de Gestión Empresaria I,6,81.xx - Sistemas Integrados de Gestión I,3
5,81.39 - Sistemas Integrados de Gestión Empresaria I,6,81.xx - Taller de Sistemas Integrados de Gestión,3
5,94.40 - Estructura de las Organizaciones,3,94.40 - Estructura de las Organizaciones,3
6,11.84 - Gestión de Proyectos,3,11.84 - Gestión de Proyectos,3
6,11.85 - Toma de Decisiones,6,11.85 - Toma de Decisiones,6
6,81.31 - Análisis y Diseño de Aplicaciones Informáticas,6,81.xx - Análisis Funcional de Aplicaciones,3
6,81.31 - Análisis y Diseño de Aplicaciones Informáticas,6,81.xx - Diseño de Aplicaciones Informáticas,3
6,81.36 - Sistemas Integrados de Gestión Empresaria II,6,81.xx - Gestión organizacional integrada,3
6,81.36 - Sistemas Integrados de Gestión Empresaria II,6,81.xx - Taller de Sistemas de Gestión Empresaria II,3
6,94.41 - Gestión de los Recursos Humanos,3,94.27 - Administración de los Recursos Humanos,3
7,81.26 - Comercio Exterior,3,81.26 - Comercio Exterior,3
7,81.41 - Estrategia Empresaria,6,81.xx - Estrategia Empresarial,3
7,81.41 - Estrategia Empresaria,6,81.xx - Ciclo de charlas sobre estrategia,3
7,81.56 - Arquitectura de la Tecnología Informática,6,81.xx - Arquitectura de Soluciones Digitales,3
7,81.56 - Arquitectura de la Tecnología Informática,6,82.08 - Cloud Computing,3
7,94.10 - Formación para Emprendedores,3,94.10 - Formación para Emprendedores,3
7,81.46 - Auditoria General y de Sistemas,3,81.46 - Auditoria General y de Sistemas,3
7,81.60 - Sistemas Integrados de Gestión en la Industria de Servicio,6,81.xx - Service Design,3
7,81.60 - Sistemas Integrados de Gestión en la Industria de Servicio,6,81.xx - Gestión de Servicios,3
7,61.40 - Economía y Finanzas Internacionales,6,61.xx - Economía Internacional Real,3
7,61.40 - Economía y Finanzas Internacionales,6,61.xx - Economía Internacional Monetaria,3
7,81.63 - Marketing Internacional,3,81.63 - Marketing Internacional,3
8,81.23 - Comercio Electrónico,3,81.23 - Comercio Electrónico,3
8,81.25 - Impuestos,3,81.xx - Impuestos para la toma de decisiones 1,3
8,81.45 - Seminario de Actualización,3,81.xx - Tecnologías Exponenciales,3
8,81.55 - Diagnóstico Empresario y Plan de Acción ( Trabajo Final ),6,81.xx - Proyecto Final,3,
8,81.55 - Diagnóstico Empresario y Plan de Acción ( Trabajo Final ),6,94.64 - Prácticas Expositivas,3
8,81.61 - Modelado Avanzado de Proc e Intelig de Neg,6,81.xx - Arquitectura Empresarial,3
8,81.61 - Modelado Avanzado de Proc e Intelig de Neg,6,81.xx - Taller de Modelado Avanzado,3
8,81.38 - Integración de Procesos de Negocios y Aplicaciones Inf,3,81.38 - Integración de Procesos de Negocios y Aplicaciones Inf,3
8,61.92 - Derecho Aduanero,3,61.92 - Derecho Aduanero,3
8,81.64 - Gestión y Sistemas de Información de la Logística Internacional,6,81.xx - Logística Internacional,3
8,81.64 - Gestión y Sistemas de Información de la Logística Internacional,6,81.xx - Logística Internacional Aplicada,3
